diseaseCategory,name
"Blood, Immune",Graftversushost disease
"Blood, Immune",Evans syndrome
"Blood, Immune",Aplastic anaemia
"Blood, Immune",Postsurgical asplenia
"Blood, Immune","Thrombotic microangiopathy, not elsewhere classified"
"Blood, Immune",Druginduced lupus erythematosus
"Blood, Immune",Hereditary haemolytic anaemia
"Blood, Immune",Qualitative platelet defects
"Blood, Immune",Dermatomyositis
"Blood, Immune","Acquired haemolytic anaemia, immune"
"Blood, Immune",Acute posthaemorrhagic anaemia
"Blood, Immune",Polymyositis
"Blood, Immune",Eosinopenia
"Blood, Immune",Hypersplenism
"Blood, Immune",Thrombocytopenia
"Blood, Immune",Disseminated intravascular coagulation
"Blood, Immune","Coagulation defects, unspecified"
"Blood, Immune","Haemolytic anaemias, unspecified"
"Blood, Immune",Vitamin B12 deficiency anaemia due to low intake
"Blood, Immune",Thrombophilia
"Blood, Immune",Overlap or undifferentiated nonorgan specific systemic autoimmune disease
"Blood, Immune",Anaemia (Iron deficiency anaemia)
"Blood, Immune",Anaemia (Idiopathic aplastic anaemia)
"Blood, Immune",Pancytopenia (Other specified aplastic anaemias)
"Blood, Immune",Abscess of spleen
"Blood, Immune",Anaemia (Acute posthaemorrhagic anaemia)
"Blood, Immune",Other specified anaemias
"Blood, Immune","Anaemia (Anaemia, unspecified)"
"Blood, Immune",Hereditary factor VIII deficiency
"Blood, Immune",Papulosquamous Diseases (Acquired coagulation factor deficiency)
"Blood, Immune",Purpura (Allergic purpura)
"Blood, Immune","Thrombocytopenia (Thrombocytopenia, unspecified)"
"Blood, Immune",Infarction of spleen
"Blood, Immune",Hyposplenism
"Blood, Immune",Hypersplenism
"Blood, Immune",Secondary polycythaemia
Circulatory System,Angina Pectoris
Circulatory System,Atrial fibrillation and flutter
Circulatory System,Biventricular failure
Circulatory System,Coronary atherosclerosis
Circulatory System,Speech And Language Deficits (Sequelae of intracerebral haemorrhage)
Circulatory System,Atherosclerotic chronic arterial occlusive disease
Circulatory System,Hemiplegia And Hemiparesis (Sequelae of other nontraumatic intracranial haemorrhage)
Circulatory System,Ventricular premature depolarization
Circulatory System,Cognitive Deficits (Sequelae of cerebral infarction)
Circulatory System,"Stroke (Sequelae of stroke, not specified as haemorrhage or infarction)"
Circulatory System,Paroxysmal atrial fibrillation
Circulatory System,"Rheumatic heart disease, unspecified"
Circulatory System,Speech And Language Deficits (Sequelae of other and unspecified cerebrovascular diseases)
Circulatory System,Acute or subacute infectious endocarditis
Circulatory System,Atherosclerosis
Circulatory System,Lymphoedema
Circulatory System,"Rheumatic Fever (Acute rheumatic heart disease, unspecified)"
Circulatory System,"Cardiac arrhythmia, unspecified"
Circulatory System,Acquired abnormality of congenitally malformed valve
Circulatory System,Atherosclerosis (Atherosclerosis of arteries of extremities)
Circulatory System,Varicose Veins (Varicose veins of lower extremities)
Circulatory System,Postprocedural valve disorders
Circulatory System,"Rheumatic heart disease (Rheumatic heart disease, unspecified)"
Circulatory System,Unstable angina
Circulatory System,Heart Block (Nonspecific intraventricular block)
Circulatory System,Idiopathic ventricular fibrillation
Circulatory System,Varices (Oesophageal varices with bleeding)
Circulatory System,Other specified diseases of veins
Circulatory System,Varicose Veins (Varicose veins of other sites)
Circulatory System,Mitral valve prolapse
Circulatory System,Cerebral Infarction
Circulatory System,Hemiplegia And Hemiparesis (Sequelae of subarachnoid haemorrhage)
Circulatory System,Varicocele (Scrotal varices)
Circulatory System,"Acute endocarditis, unspecified"
Circulatory System,Complete atrioventricular block
Circulatory System,Ventricular tachycardia
Circulatory System,Varices (Gastric varices)
Circulatory System,Ingiunal Bubo (Nonspecific lymphadenitis)
Circulatory System,Acute ST elevation myocardial infarction
Circulatory System,Rheumatic fever without mention of heart involvement
Circulatory System,"Paroxysmal tachycardia, unspecified"
Circulatory System,"Lymphoedema, not elsewhere classified"
Circulatory System,"Arterial aneurysm or dissection, excluding aorta"
Circulatory System,Prosthetic valve disease
Circulatory System,Hypertension (Renovascular hypertension)
Circulatory System,Ventricular Dilatation (Cardiomegaly)
Circulatory System,Acute nonST elevation myocardial infarction
Circulatory System,Hypotension (Hypotension due to drugs)
Circulatory System,Dilated cardiomyopathy
Circulatory System,Tricuspid valve stenosis
Circulatory System,Cerebrovascular Insufficiency (Other specified cerebrovascular diseases)
Circulatory System,Mitral valve stenosis
Circulatory System,"Cardiomyopathy, unspecified"
Circulatory System,"Cerebrovascular Diseases (Cerebrovascular disease, unspecified)"
Circulatory System,"Atrioventricular block, first degree"
Circulatory System,Myocarditis (Infective myocarditis)
Circulatory System,Unstable angina
Circulatory System,Conduction disorders
Circulatory System,Other specified cardiac arrhythmia
Circulatory System,Other acute ischaemic heart diseases
Circulatory System,Conduction Disorder (Other specified conduction disorders)
Circulatory System,Ventricular tachyarrhythmia
Circulatory System,Acute nasopharyngitis
Circulatory System,Lymphadenitis
Circulatory System,Cardiac Dilatation (Myocardial degeneration)
Circulatory System,"Myocarditis (Myocarditis, unspecified)"
Circulatory System,"Aortic valve disease, unspecified"
Circulatory System,Silent myocardial ischaemia
Circulatory System,"Myocarditis, unspecified"
Circulatory System,Congestive heart failure
Circulatory System,Lymphoedema due to surgery or radiotherapy
Circulatory System,Abdominal aortic aneurysm
Circulatory System,Recurrent venous leg ulcer
Circulatory System,Acute pericarditis
Circulatory System,Nonrheumatic tricuspid valve disorders
Circulatory System,Tachycardia-Bradycardia Syndrome (Sick sinus syndrome)
Circulatory System,Other specified diseases of the circulatory system
Circulatory System,Cardiac arrhythmia associated with genetic disorder
Circulatory System,Arrhythmias (Other cardiac arrhythmias)
Circulatory System,Superficial thrombophlebitis
Circulatory System,Hypertensive crisis
Circulatory System,Tricuspid valve insufficiency
Circulatory System,Pulmonary Valve Insufficiency
Circulatory System,"Aneurysm (Cerebral aneurysm, nonruptured)"
Circulatory System,"Acute ischaemic heart disease, unspecified"
Circulatory System,Chronic rheumatic pericarditis
Circulatory System,Cardiac tamponade
Circulatory System,Restrictive cardiomyopathy
Circulatory System,"Atherosclerotic cardiovascular disease, so described"
Circulatory System,Aortic aneurysm or dissection
Circulatory System,Aneurysm (Occlusion and stenosis of unspecified cerebral artery)
Circulatory System,"Hypertension (Secondary hypertension, unspecified)"
Circulatory System,Atherosclerotic heart disease
Circulatory System,Other specified disorders of lymphatic vessels or lymph nodes
Circulatory System,Supraventricular bradyarrhythmia
Circulatory System,Haemopericardium
Circulatory System,Coronary artery aneurysm
Circulatory System,Rheumatic Fever (Acute pericarditis)
Circulatory System,Hypertensive encephalopathy
Circulatory System,Deep vein thrombosis
Circulatory System,"Pulmonary thromboembolism, unspecified"
Circulatory System,Chronic total occlusion of coronary artery
Circulatory System,Thoracic aortic aneurysm
Circulatory System,Rheumatic fever with heart involvement
Circulatory System,"Hemorrhage (Intracranial haemorrhage (nontraumatic), unspecified)"
Circulatory System,Pulmonary valve insufficiency
Circulatory System,Cardiopulmonary Disease (Other specified pulmonary heart diseases)
Circulatory System,"Heart disease (Heart disease, unspecified)"
Circulatory System,Supraventricular tachyarrhythmia
Circulatory System,Hypertrophic cardiomyopathy
Circulatory System,"Ischaemic heart diseases, unspecified"
Circulatory System,Primary lymphoedema
Circulatory System,Right ventricular failure
Circulatory System,Old myocardial infarction
Circulatory System,Ischaemic cardiomyopathy
Circulatory System,Cognitive Deficits (Sequelae of intracerebral haemorrhage)
Circulatory System,Hypertension (Secondary hypertension)
Circulatory System,Chronic ischaemic heart disease
Circulatory System,Primary pulmonary hypertension
Circulatory System,Aortic valve insufficiency
Circulatory System,Acute lymphadenitis
Circulatory System,Multiple valve disease
Circulatory System,Cognitive Deficits (Sequelae of cerebrovascular disease)
Circulatory System,Orthostatic hypotension
Circulatory System,Other rheumatic heart diseases
Circulatory System,Atrial premature depolarization
Circulatory System,Other specified cardiomyopathy
Circulatory System,Cor pulmonale
Circulatory System,Rheumatic myocarditis
Circulatory System,Atrial fibrillation
Circulatory System,Mitral (valve) insufficiency
Circulatory System,Constrictive pericarditis
Circulatory System,Other specified diseases of arteries or arterioles
Circulatory System,"Chronic arterial occlusive disease, unspecified"
Circulatory System,Acute myocardial infarction
Circulatory System,"Chronic rheumatic heart diseases, not elsewhere classified"
Circulatory System,"Cardiac arrest, unspecified"
Circulatory System,Sudden arrhythmic death syndrome
Circulatory System,Coronary artery dissection
Circulatory System,Hypertension (Essential (primary) hypertension)
Circulatory System,Other specified diseases of coronary artery
Circulatory System,Multiple valve diseases
Circulatory System,Aortic (valve) stenosis
Circulatory System,"Pericarditis, unspecified"
Circulatory System,Tricuspid stenosis
Circulatory System,"Acute myocardial infarction, unspecified"
Circulatory System,Idiopathic hypotension
Circulatory System,Secondary hypertension
Circulatory System,Postprocedural true or false aortic aneurysm
Circulatory System,Pericardial effusion
Circulatory System,"Mitral valve disease, unspecified"
Circulatory System,"Pulmonary valve disease, unspecified"
Circulatory System,"Chronic ischaemic heart disease, unspecified"
Circulatory System,Pulmonary embolism
Circulatory System,Hypertensive Renal Disease
Circulatory System,Hypertension (Other secondary hypertension)
Circulatory System,Acquired systemic vein abnormality
Circulatory System,Mitral Stenosis
Circulatory System,Effusion (Pericardial effusion (noninflammatory))
Circulatory System,"Acute ischaemic heart disease, unspecified"
Circulatory System,"Heart failure, unspecified"
Circulatory System,"Angina pectoris, unspecified"
Circulatory System,Stable angina
Circulatory System,Cardiac arrest
Circulatory System,Angina pectoris
Circulatory System,Aortic (valve) insufficiency
Circulatory System,Cardiomyopathy
Circulatory System,Stroke (Other cerebral infarction)
Circulatory System,Nonrheumatic aortic valve disorders
Circulatory System,Noncompaction cardiomyopathy
Circulatory System,Supraventricular tachycardia
Circulatory System,Pericarditis (Infective Suppurative)
Circulatory System,Paroxysmal tachycardia
Circulatory System,"Heart failure, unspecified"
Circulatory System,Left ventricular failure
Circulatory System,Diabetic foot ulcer
Circulatory System,Secondary lymphoedema
Circulatory System,Raynaud phenomenon
Circulatory System,Ascites (Chylous)
Circulatory System,"Tricuspid valve disease, unspecified"
Circulatory System,Varices (Oesophageal varices without bleeding)
Circulatory System,Acute arterial occlusion
Circulatory System,Alcoholic cardiomyopathy
Circulatory System,Haemorrhage (Intracerebral haemorrhage)
Circulatory System,Hemiplegia And Hemiparesis (Sequelae of other and unspecified cerebrovascular diseases)
Circulatory System,Embolism And Thrombosis (Arterial embolism and thrombosis)
Circulatory System,Hypotension
Circulatory System,Heart failure
Circulatory System,Cardiomegaly
Circulatory System,Mitral valve insufficiency
Circulatory System,Acute myocardial infarction
Circulatory System,Varices (Pelvic varices)
Circulatory System,Aortic valve stenosis
Circulatory System,Varices (Oesophageal varices)
Circulatory System,Pulmonary hypertension
Circulatory System,Lower limb varicose veins
Circulatory System,Left ventricular failure
Circulatory System,Primary venous leg ulcer
Circulatory System,Old myocardial infarction
Circulatory System,Obstruction of peripheral vein
Circulatory System,Chronic peripheral venous insufficiency of lower extremities
Circulatory System,Left bundle branch block
Circulatory System,Congestive heart failure
Circulatory System,Ischaemic cardiomyopathy
Circulatory System,Right bundle branch block
Circulatory System,Myocarditis
Circulatory System,Chronic lymphadenitis
Circulatory System,"Hypotension, unspecified"
Circulatory System,Pulmonary valve stenosis
Circulatory System,Other specified diseases of the myocardium or cardiac chambers
Circulatory System,Dilated cardiomyopathy
Circulatory System,Postprocedural ventricular abnormality
Circulatory System,"Atrioventricular block, second degree"
Circulatory System,Pulmonary thromboembolism
Circulatory System,Diabetic cardiomyopathy
Circulatory System,High output syndromes
Circulatory System,Cardiomyopathy
Circulatory System,Venous thromboembolism
"Codes, special purpose",Severe acute respiratory syndrome [SARS]
"Codes, special purpose","COVID19, virus identified"
"Codes, special purpose",Post COVID19 condition
"Codes, special purpose",COVID19
"Codes, special purpose","COVID19, virus not identified"
Conditions related to sexual health,Male erectile dysfunction
Conditions related to sexual health,Abortion
Conditions related to sexual health,"Sexual dysfunctions, unspecified"
Conditions related to sexual health,Orgasmic dysfunctions
Conditions related to sexual health,Other specified conditions related to sexual health
Conditions related to sexual health,Male delayed ejaculation
Conditions related to sexual health,Sexual arousal dysfunctions
Conditions related to sexual health,Ejaculatory dysfunctions
Conditions related to sexual health,Sexual painpenetration disorder
Conditions related to sexual health,"Anorgasmia, acquired, generalised"
Congenital Malformations,Ankyloglossia
Congenital Malformations,Brachydactyly
Congenital Malformations,Osteogenesis imperfecta
Congenital Malformations,Pierre Robin syndrome
Congenital Malformations,Anorectal malformations
Congenital Malformations,Structural developmental anomalies of oesophagus
Congenital Malformations,Congenital sequestration of lung
Congenital Malformations,Cephalocele
Congenital Malformations,Congenital asplenia
Congenital Malformations,Hyperdontia
Congenital Malformations,Structural developmental anomalies of stomach
Congenital Malformations,Klinefelter syndrome
Congenital Malformations,Turner syndrome
Congenital Malformations,Imperforate hymen
Congenital Malformations,"Structural developmental anomalies of gallbladder, bile ducts or liver"
Congenital Malformations,Ventricular septal defect
Congenital Malformations,Structural developmental anomalies of ear causing hearing impairment
Congenital Malformations,Exstrophy of urinary bladder
Congenital Malformations,Congenital diverticulum of small intestine
Congenital Malformations,Structural developmental anomalies of pelvic girdle
Congenital Malformations,Double outlet right ventricle
Congenital Malformations,Accessory nipple
Congenital Malformations,Complete trisomies of the autosomes
Congenital Malformations,Congenital deformities of toes
Congenital Malformations,Epispadias
Congenital Malformations,Bicuspid aortic valve
Congenital Malformations,Congenital hypoganglionosis of large intestine
Congenital Malformations,Tetralogy of Fallot
Congenital Malformations,Late exfoliation of teeth
Congenital Malformations,Structural developmental anomalies of mouth or tongue
Congenital Malformations,Multicystic renal dysplasia
Congenital Malformations,Ebstein malformation of tricuspid valve
Congenital Malformations,Structural developmental anomalies of the anterior segment of eye
Congenital Malformations,Syndactyly
Congenital Malformations,Limb overgrowth
Congenital Malformations,Horseshoe kidney
Congenital Malformations,Congenital eyelid retraction
Congenital Malformations,Congenital diaphragmatic hernia
Congenital Malformations,Anencephaly or similar anomalies
Congenital Malformations,Facial asymmetry
Congenital Malformations,Malformative disorders of sex development
Congenital Malformations,Structural developmental anomalies of diaphragm
Congenital Malformations,Congenital torticollis
Congenital Malformations,Ectopic or pelvic kidney
Congenital Malformations,Congenital anomaly of atrial septum
Congenital Malformations,Congenital anomaly of a ventriculoarterial valve or adjacent regions
Congenital Malformations,Coloboma of lens
Congenital Malformations,Congenital pulmonary valvar stenosis
Congenital Malformations,Congenital macroglossia
Congenital Malformations,Atresia of small intestine
Congenital Malformations,Myelomeningocele with hydrocephalus
Congenital Malformations,Structural developmental anomalies of vulva
Congenital Malformations,Prune belly syndrome
Congenital Malformations,Structural developmental anomalies of larynx
Congenital Malformations,"Structural developmental anomalies of eyelid, lacrimal apparatus or orbit"
Congenital Malformations,Immature ganglionosis of large intestine
Congenital Malformations,Apert syndrome
Congenital Malformations,Congenital short bowel
Congenital Malformations,Atresia of oesophagus with oesophagobronchial fistula
Congenital Malformations,Meckel diverticulum
Congenital Malformations,Congenital anomaly of an atrioventricular valve or atrioventricular septum
Congenital Malformations,"Syndromes with multiple structural anomalies, without predominant body system involvement"
Congenital Malformations,Atrioventricular septal defect
Congenital Malformations,Congenital tricuspid regurgitation
Congenital Malformations,Functionally univentricular heart
Congenital Malformations,Structural developmental anomalies of small intestine
Congenital Malformations,Structural developmental anomalies of clitoris
Congenital Malformations,Myelomeningocele without hydrocephalus
Congenital Malformations,Cerebral structural developmental anomalies
Congenital Malformations,Fusion of labia
Congenital Malformations,Structural developmental anomalies of lungs
Congenital Malformations,Congenital hiatus hernia
Congenital Malformations,Congenital aortopulmonary window
Congenital Malformations,Complete trisomy 13
Congenital Malformations,Number anomalies of chromosome X
Congenital Malformations,DandyWalker malformation
Congenital Malformations,Congenital vesicoureterorenal reflux
Congenital Malformations,Congenital anomaly of an atrioventricular or ventriculoarterial connection
Congenital Malformations,Structural developmental anomalies of the nose or cavum
Congenital Malformations,Congenital anomaly of mediastinal vein
Congenital Malformations,"Congenital malformation of brain, unspecified"
Congenital Malformations,Congenital cataract
Congenital Malformations,Complete trisomy 21
Congenital Malformations,Coarctation of aorta
Congenital Malformations,Structural developmental anomalies of urinary tract
Congenital Malformations,"Congenital malformation of face and neck, unspecified"
Congenital Malformations,Congenital rectovaginal fistula
Congenital Malformations,Oesophageal fistula without atresia
Congenital Malformations,Atrioventricular septal defect
Congenital Malformations,Tetralogy of Fallot
Congenital Malformations,"Patent Ductus Arteriosus (Congenital malformation of heart, unspecified)"
Congenital Malformations,"Congenital malformation of heart, unspecified"
Congenital Malformations,Patent ductus arteriosus
Congenital Malformations,Structural developmental anomalies of cranium
Congenital Malformations,"Congenital malformation of larynx, unspecified"
Congenital Malformations,"Congenital malformation of lung, unspecified"
Congenital Malformations,"Congenital malformation of respiratory system, unspecified"
Congenital Malformations,Cleft Hard Palate
Congenital Malformations,Crouzon disease
Congenital Malformations,Anomalous positionorientation of heart
Congenital Malformations,Cleft Soft Palate
Congenital Malformations,Cleft Lip
Congenital Malformations,Structural developmental anomalies of pancreas
Congenital Malformations,Congenital diverticulum of oesophagus
Congenital Malformations,Ankyloglossia
Congenital Malformations,Congenital stenosis or stricture of oesophagus
Congenital Malformations,Cerebellar structural developmental anomalies
Congenital Malformations,Structural developmental anomalies of large intestine
Congenital Malformations,"Congenital malformation of oesophagus, unspecified"
Congenital Malformations,"Congenital malformation of stomach, unspecified"
Congenital Malformations,Early exfoliation of teeth
Congenital Malformations,Congenital anomaly of a ventricle or the ventricular septum
Congenital Malformations,Congenital pulmonary venous stenosis or hypoplasia
Congenital Malformations,Structural developmental anomalies of spleen
Congenital Malformations,Patent arterial duct
Congenital Malformations,Ectopic anus
Congenital Malformations,Congenital oesophageal web or ring
Congenital Malformations,Renal agenesis
Congenital Malformations,Structural developmental anomalies of lens or zonula
Congenital Malformations,Imperforate hymen
Congenital Malformations,"Congenital malformation of female genitalia, unspecified"
Congenital Malformations,Undescended testicle
Congenital Malformations,Double outlet left ventricle
Congenital Malformations,Anomalous pulmonary venous connection
Congenital Malformations,"Congenital malformation of male genital organ, unspecified"
Congenital Malformations,"Polycystic kidney, unspecified"
Congenital Malformations,Ectopic kidney
Congenital Malformations,Structural developmental anomalies of trachea
Congenital Malformations,Talipes equinovarus
Congenital Malformations,Biliary atresia
Congenital Malformations,Metatarsus varus
Congenital Malformations,Abnormal ventricular relationships
Congenital Malformations,Hirschsprung disease
Congenital Malformations,Other specified congenital musculoskeletal deformities
Congenital Malformations,Ectopic anus
Congenital Malformations,Congenital deformities of feet
Congenital Malformations,Other reduction defects of upper limb(s)
Congenital Malformations,Reduction defects of lower limb
Congenital Malformations,Macrocephaly
Congenital Malformations,Congenital hypoplasia of lung
Congenital Malformations,Syndromes with skeletal anomalies as a major feature
Congenital Malformations,Congenital left ventricular outflow tract obstruction
Congenital Malformations,Developmental dysplasia of hip
Congenital Malformations,Spina bifida occulta
Congenital Malformations,"Undescended testicle, unilateral"
Congenital Malformations,"Other congenital malformations of spine, not associated with scoliosis"
Congenital Malformations,Structural developmental anomalies of teeth and periodontal tissues
Congenital Malformations,Anodontia
Congenital Malformations,Turner syndrome
Congenital Malformations,Atresia of oesophagus
Congenital Malformations,Congenital dacryocele
Congenital Malformations,Micropenis or penis agenesis
Congenital Malformations,Minor anomalies of pinnae
Congenital Malformations,Cleft palate
Congenital Malformations,Tuberous sclerosis
Congenital Malformations,Phakomatoses or hamartoneoplastic syndromes
Congenital Malformations,Coloboma of iris
Congenital Malformations,Laryngeal hypoplasia
Congenital Malformations,Clitoromegaly
Congenital Malformations,Hypospadias
Congenital Malformations,Congenital corneal opacity
Congenital Malformations,Congenital hydronephrosis
Congenital Malformations,Hypoplastic left heart syndrome
Congenital Malformations,Aniridia
Congenital Malformations,Structural developmental anomalies of anal canal
Congenital Malformations,Atrial septal defect within oval fossa
Congenital Malformations,Spina bifida
Congenital Malformations,"46,XY gonadal dysgenesis"
Congenital Malformations,Choanal atresia
Congenital Malformations,Anotia
Congenital Malformations,Gastroschisis
Congenital Malformations,Congenital hypertrophic pyloric stenosis
Congenital Malformations,Microtia
Congenital Malformations,Transposition of the great arteries
Congenital Malformations,Congenital tricuspid valvar stenosis
Congenital Malformations,Craniosynostosis
Congenital Malformations,Corpus callosum agenesis
Congenital Malformations,Congenital cyst of mediastinum
Congenital Malformations,Common arterial trunk
Congenital Malformations,Ectopic testis
Congenital Malformations,Choledochal cyst
Congenital Malformations,Absence of diaphragm
Congenital Malformations,Neurofibromatoses
Congenital Malformations,Hypodontia
Congenital Malformations,Interrupted aortic arch
Congenital Malformations,Structural developmental anomalies of kidneys
Congenital Malformations,Cleft lip
Congenital Malformations,Hypoplasia or agenesis of cerebellar hemispheres
Congenital Malformations,Congenital pulmonary airway malformations
Congenital Malformations,Talipes equinovarus
Congenital Malformations,Talipes calcaneovarus
Congenital Malformations,Polydactyly
Congenital Malformations,Holoprosencephaly
Congenital Malformations,Myelocystocele
Congenital Malformations,Complete trisomy 18
Congenital Malformations,Congenital aortic valvar stenosis
Congenital Malformations,"Undescended testicle, bilateral"
Congenital Malformations,Noonan syndrome
Congenital Malformations,Microcephaly
Congenital Malformations,Microphthalmos
Congenital Malformations,Cryptorchidism
Congenital Malformations,Dermoid cyst
Congenital Malformations,Structural developmental anomalies of vagina
Congenital Malformations,VATER association
Congenital Malformations,Encephalocele
Congenital Malformations,Annular pancreas
Congenital Malformations,Microcephaly
Congenital Malformations,Joint formation defects
Congenital Malformations,Hypoglossia or aglossia
Congenital Malformations,ArnoldChiari malformation type II
Congenital Malformations,Ventricular septal defect
Congenital Malformations,Omphalocele
Congenital Malformations,Congenital hydrocephalus
Congenital Malformations,Anencephaly
Congenital Malformations,Congenital chordee
Congenital Malformations,"Congenital malformation of circulatory system, unspecified"
Congenital Malformations,Cleft Hard And Soft Palate (Cleft hard palate with cleft soft palate)
Congenital Malformations,Congenital tracheomalacia
Congenital Malformations,Atrial Septal Defect
Congenital Malformations,Congenital ptosis
Congenital Malformations,Spina bifida
Congenital Malformations,Accessory auricle
Congenital Malformations,Macroglossia
Congenital Malformations,Congenital tracheo-oesophageal fistula without atresia
Congenital Malformations,Macrocephaly
Congenital Malformations,Congenital cataract
Congenital Malformations,Meckel diverticulum
Congenital Malformations,Congenital adrenal hypoplasia
Congenital Malformations,Cleft Palate
Congenital Malformations,Congenital lobar emphysema
Congenital Malformations,Cleft Lip & Palate (Cleft palate with cleft lip)
Congenital Malformations,Hypospadias
Congenital Malformations,Cloacal exstrophy
Congenital Malformations,Other congenital malformations of mouth
Congenital Malformations,Congenital mitral regurgitation
Congenital Malformations,"Congenital malformation of uterus and cervix, unspecified"
Congenital Malformations,Hirschsprung disease
Congenital Malformations,Talipes calcaneovarus
Congenital Malformations,Polydactyly
Congenital Malformations,"Congenital malformations of the musculoskeletal system, not elsewhere classified"
Congenital Malformations,Achondroplasia
Congenital Malformations,Structural developmental anomalies of ocular globes
Congenital Malformations,Congenital laryngomalacia
Congenital Malformations,Congenital anomaly of great arteries including arterial duct
Congenital Malformations,"Syndromes with multiple structural anomalies, without predominant body system involvement, unspecified"
Congenital Malformations,Xeroderma Pigmentosum
Congenital Malformations,Gastroschisis
Congenital Malformations,Neurofibromatosis (Neurofibromatosis (nonmalignant))
Congenital Malformations,Persistent cloaca
Congenital Malformations,Osteopetrosis
Congenital Malformations,Conjoined twins
Congenital Malformations,Pfeiffer syndrome
Congenital Malformations,Ichthyosis Vulgaris
Congenital Malformations,Down syndrome
Congenital Malformations,Tricuspid atresia
Congenital Malformations,"Edwards syndrome, unspecified"
Congenital Malformations,"Patau syndrome, unspecified"
Congenital Malformations,"Klinefelter syndrome, unspecified"
Congenital Malformations,Congenital deformities of fingers
Congenital Malformations,"46,XX true hermaphrodite"
Congenital Malformations,Chromosomal Abnormality (other specified chromosome abnormalities)
Congenital Malformations,"Chromosomal abnormality, unspecified"
Congenital Malformations,Congenital subglottic stenosis
Congenital Malformations,Congenital mitral valvar stenosis
Contact with Services,Immunization (against single viral diseases)
Contact with Services,Immunization (against poliomyelitis)
Contact with Services,Immunization (against yellow fever)
Contact with Services,Immunization (against DTP + polio)
Contact with Services,Supervision of normal pregnancy
Contact with Services,Immunization Not Carried Out
Contact with Services,Examination of ears and hearing
Contact with Services,Chemotherapy (other prophylactic chemotherapy)
Contact with Services,Family Planning Service (General counselling and advice on contraception)
Contact with Services,Family Planning Service (Insertion of (intrauterine) contraceptive device)
Contact with Services,Contact with health services for routine or ritual circumcision
