uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,Catheter Foley Silconized Latex Three Ways,,Drug,N/A,,,,,,,,
,Cefazolin Sodium,,Drug,N/A,,,,,,,,
,Morphine Sulphate,,Drug,N/A,,,,,,,,
,Nifedipine,,Drug,N/A,,,,,,,,
,Oxytocin,,Drug,N/A,,,,,,,,
,Chlordiazepoxide + Clindnium Bromide,,Drug,N/A,,,,,,,,
,Aluminium Hydroxide + Magnesium Hydroxide + Simethicon,,Drug,N/A,,,,,,,,
,Pethidine HCL,,Drug,N/A,,,,,,,,
,Amitriptyline,,Drug,N/A,,,,,,,,
,Ciprofloxacin,,Drug,N/A,,,,,,,,
,Ciprofloxacin,,Drug,N/A,,,,,,,,
,Clarithromycin,,Drug,N/A,,,,,,,,
,Amlodipine,,Drug,N/A,,,,,,,,
,Cloxacillin Sodium,,Drug,N/A,,,,,,,,
,Aluminium Hydroxide + Magnesium Trisilicate,,Drug,N/A,,,,,,,,
,Clotrimazole,,Drug,N/A,,,,,,,,
,Cotton Absorbent Wool,,Drug,N/A,,,,,,,,
,Anti-Rho (D) Immune Globulin,,Drug,N/A,,,,,,,,
,Atenolol,,Drug,N/A,,,,,,,,
,Atenolol,,Drug,N/A,,,,,,,,
,Dextromethorphan Hydrobromide,,Drug,N/A,,,,,,,,
,Surgical Scalpel Blade ,,Drug,N/A,,,,,,,,
,Surgical Scalpel Blade ,,Drug,N/A,,,,,,,,
,Diazepam,,Drug,N/A,,,,,,,,
,Surgical Scalpel Blade ,,Drug,N/A,,,,,,,,
,Surgical Scalpel Blade ,,Drug,N/A,,,,,,,,
,Surgical Scalpel Blade ,,Drug,N/A,,,,,,,,
,Digoxin,,Drug,N/A,,,,,,,,
,Tranexamic acid,,Drug,N/A,,,,,,,,
,Tramadol HCl,,Drug,N/A,,,,,,,,
,Azithromycine,,Drug,N/A,,,,,,,,
,Bandage Elastic,,Drug,N/A,,,,,,,,
,Enoxaparine,,Drug,N/A,,,,,,,,
,Digoxin,,Drug,N/A,,,,,,,,
,Dimenhydrinate,,Drug,N/A,,,,,,,,
,Zidovudine,,Drug,N/A,,,,,,,,
,Gauze Bandage,,Drug,N/A,,,,,,,,
,Dobutamine,,Drug,N/A,,,,,,,,
,Azithromycin ,,Drug,N/A,,,,,,,,
,Bupivacaine ,,Drug,N/A,,,,,,,,
,Bupivacaine Hydrochloride,,Drug,N/A,,,,,,,,
,Enalapril Maleate,,Drug,N/A,,,,,,,,
,Erythromycin,,Drug,N/A,,,,,,,,
,Hydrochlorothiazide,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set,,Drug,N/A,,,,,,,,
,Urine Collecting Bag PVC Latex Product,,Drug,N/A,,,,,,,,
,Fluconazole,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Enalapril Maleate,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set (IV Cannula) ,,Drug,N/A,,,,,,,,
,Folic Acid,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Frusemide,,Drug,N/A,,,,,,,,
,Indomethacin,,Drug,N/A,,,,,,,,
,Mannitol,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Metronidazole,,Drug,N/A,,,,,,,,
,Miconazole Nitrate,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Colostomy Bag Adhesive  Regulator Closed,,Drug,N/A,,,,,,,,
,Catheter Condom Latex Medium,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Dexamethasone,,Drug,N/A,,,,,,,,
,Nitrofurazone,,Drug,N/A,,,,,,,,
,Omeperazole,,Drug,N/A,,,,,,,,
,Omeperazole,,Drug,N/A,,,,,,,,
,Pantoprazole,,Drug,N/A,,,,,,,,
,Paracetamol,,Drug,N/A,,,,,,,,
,Paracetamol,,Drug,N/A,,,,,,,,
,Paracetamol,,Drug,N/A,,,,,,,,
,"Penicillin G, Benzanthin",,Drug,N/A,,,,,,,,
,Potassium Chloride,,Drug,N/A,,,,,,,,
,Potassium Chloride,,Drug,N/A,,,,,,,,
,Chlorpheniramine Maleate,,Drug,N/A,,,,,,,,
,Promethazine HCL,,Drug,N/A,,,,,,,,
,Praziquantel,,Drug,N/A,,,,,,,,
,Salbutamol (Albuterol),,Drug,N/A,,,,,,,,
,Cloxacillin Sodium,,Drug,N/A,,,,,,,,
,Spironolactone,,Drug,N/A,,,,,,,,
,Sulphamethoxazole + Trimethoprim,,Drug,N/A,,,,,,,,
,Ampicillin Sodium,,Drug,N/A,,,,,,,,
,Amoxicillin,,Drug,N/A,,,,,,,,
,Dopamine Hydrochloride,,Drug,N/A,,,,,,,,
,Theophylline + Ephedrine,,Drug,N/A,,,,,,,,
,Tinidazole,,Drug,N/A,,,,,,,,
,Drainage Chest Tube,,Drug,N/A,,,,,,,,
,Vancomycine,,Drug,N/A,,,,,,,,
,Drainage Chest Tube,,Drug,N/A,,,,,,,,
,Vitamin B Complex Preparations,,Drug,N/A,,,,,,,,
,Vitamin B1 + Vitamin B6 + Vitamin B12,,Drug,N/A,,,,,,,,
,Fluphenazine Decanoate,,Drug,N/A,,,,,,,,
,Vitamin K1 (Phytomenadione),,Drug,N/A,,,,,,,,
,Warfarin Sodium,,Drug,N/A,,,,,,,,
,Auto Disposable Syringe,,Drug,N/A,,,,,,,,
,Gauze Bandage,,Drug,N/A,,,,,,,,
,Sodium Bicarbonate,,Drug,N/A,,,,,,,,
,Glibenclamide,,Drug,N/A,,,,,,,,
,Haloperidol,,Drug,N/A,,,,,,,,
,Haloperidol,,Drug,N/A,,,,,,,,
,Hydrocortisone Sodium Succinate,,Drug,N/A,,,,,,,,
,Hyoscine (Scopolamine) Butylbromide,,Drug,N/A,,,,,,,,
,Hyoscine (Scopolamine) Butylbromide,,Drug,N/A,,,,,,,,
,Insulin Soluble Human,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Insulin Isophane Human,,Drug,N/A,,,,,,,,
,Metformin,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk Black Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Norfloxacin,,Drug,N/A,,,,,,,,
,Phenobarbitone (Phenobarbital),,Drug,N/A,,,,,,,,
,Phenobarbitone (Phenobarbital),,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Propofol,,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Tetracycline,,Drug,N/A,,,,,,,,
,Thiopental Sodium,,Drug,N/A,,,,,,,,
,Thiopental Sodium,,Drug,N/A,,,,,,,,
,Neostigmine,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,"Tetanus Antitoxin (TAT), Equine",,Drug,N/A,,,,,,,,
,Snake Venom Antiserum Polyvalent,,Drug,N/A,,,,,,,,
,Acyclovir,,Drug,N/A,,,,,,,,
,Albendazole,,Drug,N/A,,,,,,,,
,Albendazole,,Drug,N/A,,,,,,,,
,Azithromycine,,Drug,N/A,,,,,,,,
,Amoxicillin + Clavulanic Acid,,Drug,N/A,,,,,,,,
,Anti-haemorrhoidal (Betamethasone Valerate + Phenylephrine HCl + Lidocaine HCl),,Drug,N/A,,,,,,,,
,Cloxacillin Sodium,,Drug,N/A,,,,,,,,
,Benzyl Benzoate,,Drug,N/A,,,,,,,,
,Betamethosone Diproprionate,,Drug,N/A,,,,,,,,
,Betametasone Valarate,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Cephalexine,,Drug,N/A,,,,,,,,
,Cephalexine,,Drug,N/A,,,,,,,,
,Cephalexine,,Drug,N/A,,,,,,,,
,Cephalexine,,Drug,N/A,,,,,,,,
,Chloroquine Phosphate,,Drug,N/A,,,,,,,,
,Chlorpheniramine Maleate,,Drug,N/A,,,,,,,,
,Clindamycin,,Drug,N/A,,,,,,,,
,Clomiphene Citrate,,Drug,N/A,,,,,,,,
,Desloratadine,,Drug,N/A,,,,,,,,
,Diloxanide Furoate,,Drug,N/A,,,,,,,,
,Nevirapine,,Drug,N/A,,,,,,,,
,Diphenhydramine Hydrochloride,,Drug,N/A,,,,,,,,
,Fusidic Acid,,Drug,N/A,,,,,,,,
,"Iopamidol injection solution,370mg/50ml vial",,Drug,N/A,,,,,,,,
,Griseofulvin,,Drug,N/A,,,,,,,,
,Hydrocortisone Acetate,,Drug,N/A,,,,,,,,
,Hydrocortisone Acetate,,Drug,N/A,,,,,,,,
,Ketoconazole,,Drug,N/A,,,,,,,,
,Ketoconazole,,Drug,N/A,,,,,,,,
,Loratadine,,Drug,N/A,,,,,,,,
,Mebendazole,,Drug,N/A,,,,,,,,
,Mupirocin,,Drug,N/A,,,,,,,,
,Sulphamethoxazole + Trimethoprim,,Drug,N/A,,,,,,,,
,Oral Rehydration Salt,,Drug,N/A,,,,,,,,
,Primaquine Phosphate,,Drug,N/A,,,,,,,,
,Sulphur,,Drug,N/A,,,,,,,,
,Xylometazoline HCL ,,Drug,N/A,,,,,,,,
,Zinc Oxide,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Drainage Chest  Tube,,Drug,N/A,,,,,,,,
,Fentanyl,,Drug,N/A,,,,,,,,
,Poly Diaxone Monofilament Violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Salbutamol (Albuterol),,Drug,N/A,,,,,,,,
,Insuline Isophane Biphasic (Soluble/Isophane Mixture),,Drug,N/A,,,,,,,,
,Sodium Valproate,,Drug,N/A,,,,,,,,
,Chlorpromazine HCL,,Drug,N/A,,,,,,,,
,Chlorpromazine HCL,,Drug,N/A,,,,,,,,
,Bromazepam,,Drug,N/A,,,,,,,,
,Olanzapine,,Drug,N/A,,,,,,,,
,Levodopa + Carbidopa,,Drug,N/A,,,,,,,,
,Imipramine,,Drug,N/A,,,,,,,,
,Sertaline HCL,,Drug,N/A,,,,,,,,
,Fluoxetine,,Drug,N/A,,,,,,,,
,Suxamethonium Chloride (Succinylcholine),,Drug,N/A,,,,,,,,
,Glimepride,,Drug,N/A,,,,,,,,
,Glimepride,,Drug,N/A,,,,,,,,
,Glimepride,,Drug,N/A,,,,,,,,
,Amlodipine,,Drug,N/A,,,,,,,,
,Propranolol,,Drug,N/A,,,,,,,,
,Syringe Insulin (Disposable),,Drug,N/A,,,,,,,,
,Clopidogrel,,Drug,N/A,,,,,,,,
,Propranolol,,Drug,N/A,,,,,,,,
,Carbimazole,,Drug,N/A,,,,,,,,
,Vecuronium Bromide,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Propylthiouracil,,Drug,N/A,,,,,,,,
,Ketamine HCL,,Drug,N/A,,,,,,,,
,Glyceryl Trinitrate (Nitroglycerine),,Drug,N/A,,,,,,,,
,Artesunate,,Drug,N/A,,,,,,,,
,Bisoprolol,,Drug,N/A,,,,,,,,
,Poly Diaxone Monofilament Violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Ferrous Sulphate,,Drug,N/A,,,,,,,,
,Syringe(AD) ,,Drug,N/A,,,,,,,,
,Syringe(AD) ,,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Neostigmine,,Drug,N/A,,,,,,,,
,Cetrizine,,Drug,N/A,,,,,,,,
,Amoxicillin + Clavulanic Acid,,Drug,N/A,,,,,,,,
,Metoprolol,,Drug,N/A,,,,,,,,
,Glove Surgical  Latex Sterile Powder Free,,Drug,N/A,,,,,,,,
,Loperamide HCL,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Gentamicin,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Plaster Of Paris (P.O.P) ,,Drug,N/A,,,,,,,,
,Sulphamethoxazole + Trimethoprim,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Permethrine,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Ceftazidime,,Drug,N/A,,,,,,,,
,Cefepime,,Drug,N/A,,,,,,,,
,Heparin Sodium,,Drug,N/A,,,,,,,,
,Indomethacin,,Drug,N/A,,,,,,,,
,Dexamethasone,,Drug,N/A,,,,,,,,
,MultiVitamin ,,Drug,N/A,,,,,,,,
,Clotrimazole,,Drug,N/A,,,,,,,,
,Ampicillin Sodium,,Drug,N/A,,,,,,,,
,Meri Silk Black,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Dextrose in Water,,Drug,N/A,,,,,,,,
,Oxytetracycline HCl + Hydrocortisone Acetate + Polymixin B Sulphate,,Drug,N/A,,,,,,,,
,Cloxacillin Sodium,,Drug,N/A,,,,,,,,
,Amoxicillin,,Drug,N/A,,,,,,,,
,Phenytoin (Diphenhydantoin) Sodium,,Drug,N/A,,,,,,,,
,Risperidone,,Drug,N/A,,,,,,,,
,Bromocriptine Mesylate,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Ciprofloxacin + Dexamethasone,,Drug,N/A,,,,,,,,
,Betamethosone Diproprionate,,Drug,N/A,,,,,,,,
,Surgical Glove,,Drug,N/A,,,,,,,,
,Chemical - Gadolinium Chelate,,Drug,N/A,,,,,,,,
,Rectal Tube Rubber With Terminal Size,,Drug,N/A,,,,,,,,
,Chloramphenicol,,Drug,N/A,,,,,,,,
,Sodium Valproate,,Drug,N/A,,,,,,,,
,Ibuprofen,,Drug,N/A,,,,,,,,
,Gauze Bandage,,Drug,N/A,,,,,,,,
,Artemether + Lumefanthrine,,Drug,N/A,,,,,,,,
,Ergometrine Maleate,,Drug,N/A,,,,,,,,
,Cefotaxime Sodium,,Drug,N/A,,,,,,,,
,"Penicillin G, Sodium Crystalline",,Drug,N/A,,,,,,,,
,Ibuprofen,,Drug,N/A,,,,,,,,
,Vancomycin,,Drug,N/A,,,,,,,,
,Nystatin,,Drug,N/A,,,,,,,,
,Amoxicillin + Clavulanic Acid,,Drug,N/A,,,,,,,,
,Calamine,,Drug,N/A,,,,,,,,
,Miconazole Nitrate,,Drug,N/A,,,,,,,,
,"Penicillin G, Benzanthin",,Drug,N/A,,,,,,,,
,Ferrous + Folic Acid,,Drug,N/A,,,,,,,,
,Zinc Sulphate,,Drug,N/A,,,,,,,,
,Risperidone,,Drug,N/A,,,,,,,,
,Atrovastatin,,Drug,N/A,,,,,,,,
,Benzhexol (Trihexyphenidyl HCL),,Drug,N/A,,,,,,,,
,Noradrenaline,,Drug,N/A,,,,,,,,
,Amiodarone,,Drug,N/A,,,,,,,,
,meropenem,,Drug,N/A,,,,,,,,
,Surgical Glove,,Drug,N/A,,,,,,,,
,Ferrous Sulphate + Folic Acid,,Drug,N/A,,,,,,,,
,Surgical Glove,,Drug,N/A,,,,,,,,
,Atrovastatin,,Drug,N/A,,,,,,,,
,Ringer's Injection-Solution,,Drug,N/A,,,,,,,,
,Propylthiouracil,,Drug,N/A,,,,,,,,
,Ankle Support,,Drug,N/A,,,,,,,,
,Clobetasole Propionate ,,Drug,N/A,,,,,,,,
,Fluocinolone Acetonide,,Drug,N/A,,,,,,,,
,Acyclovir,,Drug,N/A,,,,,,,,
,MultiVitamin ,,Drug,N/A,,,,,,,,
,Phenytoin (Diphenhydantoin) Sodium,,Drug,N/A,,,,,,,,
,Vitamine B12 (Cyanocobalamine),,Drug,N/A,,,,,,,,
,Lamotrigine,,Drug,N/A,,,,,,,,
,Metoprolol succinate,,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Nevirapine,,Drug,N/A,,,,,,,,
,meropenem,,Drug,N/A,,,,,,,,
,Metoprolol succinate,,Drug,N/A,,,,,,,,
,Rectal Tube Rubber With Terminal Size,,Drug,N/A,,,,,,,,
